MANUAL,SKILL
Information Technology and Forensics,Physical Security Attributes Secure time source
Information Technology and Forensics,Physical Security Attributes Standardized developer interface
Information Technology and Forensics,Physical Security Attributes Strong Random Number Generation
Information Technology and Forensics,Physical Security Attributes Tamper-resistance
Information Technology and Forensics,"Physical Vulnerabilities Back doors, trojans, and hidden circuits"
Information Technology and Forensics,Physical Vulnerabilities Doping and Induced Faults
Information Technology and Forensics,Physical Vulnerabilities Reverse Engineering
Information Technology and Forensics,Physical Vulnerabilities Test pads and test paths
Information Technology and Forensics,Physical Vulnerabilities Unauthorized memory access
Information Technology and Forensics,"Physical Vulnerabilities Unused, unsecured communications channels"
Information Technology and Forensics,physically disassembling PCs
Networking,Plan and conduct security authorization reviews and assurance case development for initial installation of systems and networks
Education/Teaching,"Plan and coordinate the delivery of classroom techniques and formats (eg, lectures, demonstrations, interactive exercises, multimedia presentations) for the most effective learning environment"
Information Technology and Forensics,Plan and manage the delivery of knowledge management projects
Communication Architecture and Security,Plan and recommend modifications or adjustments based on exercise results or system environment
Information Technology and Forensics,Plan implementation strategy to ensure that enterprise components can be integrated and aligned
Education/Teaching,"Plan instructional strategies such as lectures, demonstrations, interactive exercises, multimedia presentations, video courses, web-based courses for most effective learning environment in conjunction with educators and trainers"
Education/Teaching,"Plan non-classroom educational techniques and formats (eg, video courses, mentoring, web-based courses)"
Communication Architecture and Security,"Plan, execute, and verify data redundancy and system recovery procedures"
Education/Teaching,planning activity initiation
Information Technology and Forensics,Planning for protection of intellectual property
Disaster Management,"planning timelines adaptive, crisis action, and time-sensitive planning"
Information Technology and Forensics,"PLC's, Gate Arrays, and other common embedded devices "
Cyber Crime and Law,policy-based and risk adaptive access controls
Data Mining,possible circumstances that would result in changing collection management authorities
Information Technology and Forensics,post implementation review (PIR) approval process
Programming Fundamentals,Practice defensive programming techniques
Education/Teaching,Prepare a plan of action and milestones based on the findings and recommendations of a security assessment report excluding any remediation actions taken
Education/Teaching,"Prepare a security assessment report documenting the issues, findings, and recommendations from the security control assessment"
